"MSN","YYYYMM","Value","Column_Order","Description","Unit","Date"
"ESTCUUS",199311,6.75,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1993-11-01
"ESTCUUS",199312,6.65,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1993-12-01
"ESTCUUS",199401,6.65,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1994-01-01
"ESTCUUS",199402,6.69,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1994-02-01
"ESTCUUS",199403,6.68,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1994-03-01
"ESTCUUS",199404,6.67,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1994-04-01
"ESTCUUS",199405,6.8,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1994-05-01
"ESTCUUS",199406,7.16,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1994-06-01
"ESTCUUS",199407,7.36,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1994-07-01
"ESTCUUS",199408,7.28,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1994-08-01
"ESTCUUS",199409,7.24,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1994-09-01
"ESTCUUS",199410,6.9,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1994-10-01
"ESTCUUS",199411,6.64,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1994-11-01
"ESTCUUS",199412,6.63,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1994-12-01
"ESTCUUS",199501,6.6,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1995-01-01
"ESTCUUS",199502,6.68,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1995-02-01
"ESTCUUS",199503,6.66,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1995-03-01
"ESTCUUS",199504,6.65,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1995-04-01
"ESTCUUS",199505,6.74,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1995-05-01
"ESTCUUS",199506,7.1,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1995-06-01
"ESTCUUS",199507,7.35,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1995-07-01
"ESTCUUS",199508,7.34,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1995-08-01
"ESTCUUS",199509,7.08,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1995-09-01
"ESTCUUS",199510,6.95,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1995-10-01
"ESTCUUS",199511,6.7,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1995-11-01
"ESTCUUS",199512,6.64,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1995-12-01
"ESTCUUS",199601,6.61,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1996-01-01
"ESTCUUS",199602,6.6,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1996-02-01
"ESTCUUS",199603,6.65,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1996-03-01
"ESTCUUS",199604,6.63,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1996-04-01
"ESTCUUS",199605,6.77,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1996-05-01
"ESTCUUS",199606,7.03,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1996-06-01
"ESTCUUS",199607,7.27,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1996-07-01
"ESTCUUS",199608,7.3,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1996-08-01
"ESTCUUS",199609,7.16,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1996-09-01
"ESTCUUS",199610,6.91,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1996-10-01
"ESTCUUS",199611,6.65,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1996-11-01
"ESTCUUS",199612,6.58,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1996-12-01
"ESTCUUS",199701,6.62,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1997-01-01
"ESTCUUS",199702,6.61,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1997-02-01
"ESTCUUS",199703,6.66,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1997-03-01
"ESTCUUS",199704,6.59,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1997-04-01
"ESTCUUS",199705,6.72,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1997-05-01
"ESTCUUS",199706,7.08,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1997-06-01
"ESTCUUS",199707,7.25,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1997-07-01
"ESTCUUS",199708,7.23,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1997-08-01
"ESTCUUS",199709,7.12,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1997-09-01
"ESTCUUS",199710,6.9,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1997-10-01
"ESTCUUS",199711,6.65,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1997-11-01
